Name,Address,Social media,Email,Zip code,Locality,Company size (FTE or employees),TVA number,Latest profit after tax (€)
Century 21 Benelux SA,"Drève Richelle 161B bte 10, 1410 Waterloo, Belgium",Facebook; Instagram; X; LinkedIn,info@century21.be,1410,Waterloo,11-50 employees (approx 7.2 FTE),BE0451724941,"11,984"
Allten SA,"Avenue Louise 162 b8, 1050 Brussels, Belgium",LinkedIn; Facebook; Instagram,info@allten.be,1050,Brussels,7.4 FTE,BE0837923810,"381,643"
Trevi Brussels SA,"Rue Vilain XIIII 53-55, 1000 Brussels, Belgium",LinkedIn; Facebook; Instagram (general Trevi),info@trevi.be,1000,Brussels,13 FTE,BE0420418982,"-700,774"
Structura Business Property,"Romeinsesteenweg 566, 1853 Strombeek-Bever, Belgium",LinkedIn,office@structura.biz,1853,Strombeek-Bever,15.9 employees (approx),BE0471978244,"76,178.61"
EV MMC Belgium SRL (Engel & Völkers),"Chaussée de Waterloo 1173, 1180 Brussels, Belgium",Instagram; Facebook; LinkedIn; YouTube,belgium@engelvoelkers.com,1180,Brussels (Uccle),0 FTE (company created late 2023),BE1004032746,
Aximas SRL,"Drukpersstraat 4, 1000 Brussels, Belgium",LinkedIn,info@aximas.com,1000,Brussels,0 FTE (micro),BE0445345014,"9,137"
Belgium SR SA (Sotheby’s International Realty),"Avenue Louise 251, 1050 Brussels, Belgium",Instagram; Facebook; LinkedIn; Pinterest; YouTube,contact@sothebysrealty.be,1050,Brussels,4.6 FTE,BE0537736425,"-245,086"
Barnes Brussels (Senrab SRL),"Avenue Louise 404A, 1050 Brussels, Belgium",Facebook; LinkedIn; Pinterest; YouTube; Instagram,brussels@barnes-international.com,1050,Brussels,1.7 FTE,BE0554963922,713
ERA Belgium (ERA HQ),"Grote Markt 6a, 9100 Sint-Niklaas, Belgium",Facebook; LinkedIn; Instagram; YouTube,info@era.be,9100,Sint-Niklaas,10.2 FTE,BE0454106983,"1,047,448"
Jones Lang LaSalle SRL,"Rue Montoyer 10, 1000 Brussels, Belgium",LinkedIn; Facebook; Twitter; Instagram,bel@jll.com,1000,Brussels,56.2 FTE,BE0403376874,"-2,110,386"
Cushman & Wakefield Belgium NV,"Marnixlaan 23, 1000 Brussels, Belgium",LinkedIn; Twitter; Instagram,,1000,Brussels,48.7 FTE,BE0422118165,"2,498,759"
CBRE SA,"Boulevard de Waterloo 16, 1000 Brussels, Belgium",LinkedIn; Facebook; Twitter; Instagram,,1000,Brussels,68.3 FTE,BE0412578810,"3,278,768"
Victoire Properties NV,"Avenue de Tervueren 418, 1150 Woluwe-Saint-Pierre, Belgium",LinkedIn; Facebook; Instagram,info@victoire.be,1150,Woluwe-Saint-Pierre,5 FTE,BE0451065638,"429,325"
Dewaele Vastgoeddiensten SA,"Ambachtenstraat 33, 8870 Izegem, Belgium",LinkedIn; Facebook; Instagram,info@dewaele.com,8870,Izegem,32.6 FTE,BE0679481139,"37,041"
Heylen Vastgoed SRL,"Grote Markt 10, 2200 Herentals, Belgium",LinkedIn; Facebook; Instagram,info@heylenvastgoed.be,2200,Herentals,121.7 FTE,BE0751696946,"-129,218"
Propriétés Immobilières SRL (PIM),"Avenue Fond'Roy 82, 1180 Brussels, Belgium",Facebook; Twitter; LinkedIn,info@pim.be,1180,Brussels (Uccle),0 FTE,BE0425187424,"-3,712"
AG Real Estate SA,"Avenue des Arts 58, 1000 Brussels, Belgium",LinkedIn; Facebook; Twitter,info@agrealestate.eu,1000,Brussels,148.9 FTE,BE0403231968,"1,045,311"
